Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\Optical Daughter\Project Outputs for Digital_Optical_Daughter_12Tx_1vXX\Pick Place\PickPlace_Digital_Optical_Daughter_12Tx_1vXX_1v01.txt

========================================================================================================================
File Design Information:

Date:       10.06.20
Time:       12:33
Revision:   1e748aa3fd33b7cf63446807858ad3da0c016492
Variant:    NoVariation
Units used: mm

Designator   Footprint          Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                    
R7B          R_0603_N           25.3610      32.3850      25.3610   32.3850   26.1610   32.3850   180      TopLayer    2k                         
R7A          R_0603_N           25.3620      22.2250      25.3620   22.2250   26.1620   22.2250   180      TopLayer    2k                         
R4F          RES_2012X06N       25.4750      68.3590      25.4750   68.3590   24.5500   68.3590   360      TopLayer    120R                       
R4E          RES_2012X06N       25.4910      58.1660      25.4910   58.1660   24.5660   58.1660   360      TopLayer    120R                       
R4D          RES_2012X06N       25.4463      47.9835      25.4463   47.9835   24.5213   47.9835   360      TopLayer    120R                       
R4C          RES_2012X06N       25.4370      37.8460      25.4370   37.8460   24.5120   37.8460   360      TopLayer    120R                       
R4B          RES_2012X06N       25.4360      27.6860      25.4360   27.6860   24.5110   27.6860   360      TopLayer    120R                       
R4A          RES_2012X06N       25.4370      17.5260      25.4370   17.5260   24.5120   17.5260   360      TopLayer    120R                       
R3F          R_0603_N           22.2250      74.8360      22.2250   74.8360   23.0250   74.8360   180      TopLayer    3.9k                       
R3E          R_0603_N           22.2410      64.6430      22.2410   64.6430   23.0410   64.6430   180      TopLayer    3.9k                       
R3D          R_0603_N           22.1963      54.4605      22.1963   54.4605   22.9963   54.4605   180      TopLayer    3.9k                       
R3C          R_0603_N           22.1870      44.3230      22.1870   44.3230   22.9870   44.3230   180      TopLayer    3.9k                       
R3B          R_0603_N           22.1860      34.1630      22.1860   34.1630   22.9860   34.1630   180      TopLayer    3.9k                       
R3A          R_0603_N           22.1870      24.0030      22.1870   24.0030   22.9870   24.0030   180      TopLayer    3.9k                       
R2F          RES_2012X06N       25.4750      74.8360      25.4750   74.8360   24.5500   74.8360   360      TopLayer    120R                       
R2E          RES_2012X06N       25.4910      64.6430      25.4910   64.6430   24.5660   64.6430   360      TopLayer    120R                       
R2D          RES_2012X06N       25.4463      54.4605      25.4463   54.4605   24.5213   54.4605   360      TopLayer    120R                       
R2C          RES_2012X06N       25.4370      44.3230      25.4370   44.3230   24.5120   44.3230   360      TopLayer    120R                       
R2B          RES_2012X06N       25.4360      34.1630      25.4360   34.1630   24.5110   34.1630   360      TopLayer    120R                       
R2A          RES_2012X06N       25.4370      24.0030      25.4370   24.0030   24.5120   24.0030   360      TopLayer    120R                       
R1F          R_0603_N           22.2250      68.3590      22.2250   68.3590   21.4250   68.3590   360      TopLayer    3.9k                       
R1E          R_0603_N           22.2410      58.1660      22.2410   58.1660   21.4410   58.1660   360      TopLayer    3.9k                       
R1D          R_0603_N           22.1963      47.9835      22.1963   47.9835   21.3963   47.9835   360      TopLayer    3.9k                       
R1C          R_0603_N           22.1870      37.8460      22.1870   37.8460   21.3870   37.8460   360      TopLayer    3.9k                       
R1B          R_0603_N           22.1860      27.6860      22.1860   27.6860   21.3860   27.6860   360      TopLayer    3.9k                       
R1A          R_0603_N           22.1870      17.5260      22.1870   17.5260   21.3870   17.5260   360      TopLayer    3.9k                       
ProjectName1 ID_PROJECTREV      -66.9290     -47.4980     -55.3705  68.8848   -66.9290  -47.4980  360      TopLayer    "Project Name, Rev"        
